Menu Item,Calories,Total Fat (g),Saturated Fat (g),Trans Fat (g),Cholesterol (mg),Sodium (mg),Carbohydrates (g),Dietary Fiber (g),Sugars (g),Added Sugars (g),Protein (g)
Power Menu Bowl - Specialties,460.0,21.0,6.0,0.0,70.0,1250.0,41.0,8.0,3.0,0.0,27.0
Cheesy Gordita Crunch - Specialties,500.0,28.0,10.0,0.0,50.0,840.0,41.0,5.0,5.0,1.0,20.0
Black Bean Crunchwrap Supreme® - Specialties,520.0,18.0,5.0,0.0,5.0,1100.0,77.0,7.0,6.0,2.0,13.0
Crunchwrap Supreme® - Specialties,540.0,21.0,7.0,0.0,20.0,1210.0,73.0,6.0,6.0,2.0,15.0
Quesarito - Specialties,650.0,33.0,13.0,0.5,50.0,1420.0,67.0,5.0,4.0,2.0,21.0
Mild Sauce Packet (V),0.0,0.0,0.0,0.0,0.0,30.0,0.0,0.0,0.0,0.0,0.0
Fire Sauce Packet (V),0.0,0.0,0.0,0.0,0.0,55.0,0.0,0.0,0.0,0.0,0.0
Black Beans (V),50.0,1.5,0.0,0.0,0.0,140.0,7.0,3.0,0.0,0.0,3.0
Black Beans &amp; Rice (V),160.0,4.5,0.0,0.0,0.0,370.0,25.0,4.0,0.0,0.0,4.0
Cheesy Fiesta Potatoes (V),240.0,13.0,2.0,0.0,0.0,520.0,28.0,3.0,1.0,0.0,3.0
Water,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Premium Roast Coffee - Hot,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0
Hot Coffee with Creamer,45.0,1.0,0.5,0.0,0.0,10.0,8.0,0.0,7.0,7.0,0.0
Lowfat Milk - CA (Regional),100.0,2.0,1.5,0.0,10.0,130.0,13.0,0.0,12.0,0.0,9.0
Wild Cherry Freeze™ (16 oz),150.0,0.0,0.0,0.0,0.0,70.0,40.0,0.0,40.0,40.0,0.0
Mtn Dew® Baja Blast Freeze™ (16 oz),150.0,0.0,0.0,0.0,0.0,45.0,41.0,0.0,41.0,41.0,0.0
Cinnabon® Delights™ Coffee - Iced,160.0,2.0,1.5,0.0,5.0,85.0,34.0,0.0,22.0,22.0,1.0
Wild Cherry Freeze™ (20 oz),190.0,0.0,0.0,0.0,0.0,90.0,50.0,0.0,50.0,50.0,0.0
Mtn Dew® Baja Blast Freeze™ (20 oz),190.0,0.0,0.0,0.0,0.0,55.0,51.0,0.0,51.0,51.0,0.0
Cinnamon Twists - Value Menu,170.0,6.0,0.5,0.0,0.0,115.0,27.0,0.0,10.0,10.0,1.0
Chicken Chipotle Melt - Value Menu,190.0,9.0,3.0,0.0,35.0,530.0,16.0,1.0,0.0,0.0,12.0
Spicy Potato Soft Taco - Value Menu,240.0,12.0,3.0,0.0,10.0,480.0,28.0,2.0,1.0,0.0,5.0
Beef Burrito - Value Menu,430.0,19.0,6.0,0.0,20.0,990.0,49.0,4.0,3.0,2.0,12.0
Fiesta Veggie Burrito - Value Menu,570.0,28.0,8.0,0.0,25.0,1030.0,65.0,8.0,4.0,2.0,14.0
Black Beans,50.0,1.5,0.0,0.0,0.0,140.0,7.0,3.0,0.0,0.0,3.0
Black Beans &amp; Rice,160.0,4.5,0.0,0.0,0.0,370.0,25.0,4.0,0.0,0.0,4.0
Cinnamon Twists,170.0,6.0,0.5,0.0,0.0,115.0,27.0,0.0,10.0,10.0,1.0
Chips and Nacho Cheese Sauce,220.0,13.0,1.5,0.0,0.0,280.0,24.0,2.0,1.0,0.0,3.0
Cheesy Fiesta Potatoes,240.0,13.0,2.0,0.0,0.0,520.0,28.0,3.0,1.0,0.0,3.0
Bean Burrito,350.0,9.0,4.0,0.0,5.0,1040.0,55.0,10.0,3.0,2.0,13.0
Power Menu Bowl - Veggie,420.0,20.0,6.0,0.0,20.0,870.0,47.0,10.0,3.0,0.0,13.0
Black Bean Crunchwrap Supreme®,520.0,18.0,5.0,0.0,5.0,1100.0,77.0,7.0,6.0,2.0,13.0
Cinnabon® Delights™ (12 Pack - Serves 4),930.0,53.0,13.0,2.0,40.0,480.0,104.0,3.0,59.0,35.0,9.0
Power Menu Bowl - Chicken,460.0,21.0,6.0,0.0,70.0,1250.0,41.0,8.0,3.0,0.0,27.0
Premium Roast Coffee - Iced,0.0,0.0,0.0,0.0,0.0,20.0,0.0,0.0,0.0,0.0,0.0
Breakfast Salsa Packet (V),0.0,0.0,0.0,0.0,0.0,50.0,0.0,0.0,0.0,0.0,0.0
Iced Coffee with Creamer,45.0,1.0,0.5,0.0,0.0,15.0,8.0,0.0,7.0,7.0,0.0
Orange Juice,140.0,0.0,0.0,0.0,0.0,20.0,33.0,0.0,28.0,28.0,2.0
Cinnabon® Delights™ Coffee - Iced,160.0,2.0,1.5,0.0,5.0,85.0,34.0,0.0,22.0,22.0,1.0
Cinnabon® Delights™ Coffee - Hot,160.0,2.0,1.5,0.0,5.0,75.0,34.0,0.0,22.0,22.0,1.0
Cheesy Toasted Breakfast Burrito - Sausage,350.0,17.0,6.0,0.0,105.0,770.0,38.0,2.0,3.0,2.0,10.0
Breakfast Quesadilla - Steak,510.0,25.0,14.0,0.0,160.0,1310.0,41.0,3.0,4.0,2.0,28.0
Breakfast Quesadilla - Bacon,510.0,27.0,14.0,0.0,150.0,1250.0,41.0,3.0,3.0,2.0,25.0
Grande Toasted Breakfast Burrito - Sausage,570.0,31.0,12.0,0.0,220.0,1190.0,51.0,4.0,3.0,2.0,21.0
Grande Toasted Breakfast Burrito - Bacon,570.0,30.0,11.0,0.0,220.0,1310.0,52.0,4.0,3.0,2.0,23.0
Hash Brown Toasted Breakfast Burrito - Bacon,580.0,32.0,10.0,0.0,130.0,1290.0,52.0,3.0,3.0,2.0,20.0
Breakfast Crunchwrap - Bacon,670.0,40.0,13.0,0.0,135.0,1300.0,52.0,4.0,3.0,2.0,21.0
Cinnabon® Delights™ (12 Pack - Serves 4) (V),930.0,53.0,13.0,2.0,40.0,480.0,104.0,3.0,59.0,35.0,9.0
Mad Tasty Unicorn Tears Sparkling Water,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Mad Tasty Watermelon Kiwi Sparkling Water,15.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0
Tequila (80 proof),70.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Mtn Dew® Baja Blast Freeze™ (16 oz),150.0,0.0,0.0,0.0,0.0,45.0,41.0,0.0,41.0,41.0,0.0
Mtn Dew® Baja Blast Freeze™ (20 oz),190.0,0.0,0.0,0.0,0.0,55.0,51.0,0.0,51.0,51.0,0.0
Prosecco Sparkling Wine (350 mL),280.0,0.0,0.0,0.0,0.0,15.0,9.0,0.0,3.0,0.0,0.0
Boulevard Cherry Blossom and Lime (12 oz),90.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0
Michelob Ultra (12 oz),100.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0
Miller Lite (12 oz),100.0,0.0,0.0,0.0,0.0,5.0,3.0,0.0,0.0,0.0,0.0
Corona Light (12 oz),100.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0
Yuengling - Light Lager (12 oz),100.0,0.0,0.0,0.0,0.0,10.0,9.0,0.0,0.0,0.0,0.0
Boulevard Unfiltered Wheat Beer 100 (12 oz),100.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0
Hard Mtn Dew - Black Cherry (12 oz),100.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,1.0,0.0,0.0
Hard Mtn Dew - Watermelon (12 oz),100.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,1.0,0.0,0.0
Coors Light (12 oz),100.0,0.0,0.0,0.0,0.0,10.0,5.0,0.0,1.0,0.0,0.0
Tecate Light (12 oz),110.0,0.0,0.0,0.0,0.0,0.0,7.0,0.0,0.0,0.0,1.0
Bud Light Bottle (16 oz),110.0,0.0,0.0,0.0,0.0,0.0,7.0,0.0,0.0,0.0,0.0
Corona Premier (16 oz),120.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,2.0,0.0,0.0
Michelob Ultra (16 oz),130.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0
Calicraft Coast (12 oz),130.0,0.0,0.0,0.0,0.0,0.0,11.0,0.0,0.0,0.0,0.0
Dos Equis Lager Especial (12 oz),130.0,0.0,0.0,0.0,0.0,0.0,11.0,0.0,0.0,0.0,0.0
Samuel Adams '76 (12 oz),130.0,0.0,0.0,0.0,0.0,0.0,8.0,0.0,0.0,0.0,0.0
Heineken Light (16 oz),130.0,0.0,0.0,0.0,0.0,0.0,9.0,0.0,0.0,0.0,1.0
Yuengling - Light Lager (16 oz),130.0,0.0,0.0,0.0,0.0,15.0,12.0,0.0,0.0,0.0,0.0
Yuengling - Golden Pilsner (12 oz),140.0,0.0,0.0,0.0,0.0,0.0,9.0,0.0,0.0,0.0,0.0
Victoria (12 oz),140.0,0.0,0.0,0.0,0.0,0.0,13.0,0.0,0.0,0.0,0.0
Bell Tower Cerveza (16 oz),140.0,0.0,0.0,0.0,0.0,0.0,15.0,0.0,0.0,0.0,2.0
Yuengling - Lager (12 oz),140.0,0.0,0.0,0.0,0.0,15.0,12.0,0.0,0.0,0.0,0.0
Miller High Life (12 oz),140.0,0.0,0.0,0.0,0.0,10.0,12.0,0.0,0.0,0.0,0.0
Tecate Light (16 oz),140.0,0.0,0.0,0.0,0.0,0.0,9.0,0.0,0.0,0.0,1.0
Heineken Bottle (12 oz),140.0,0.0,0.0,0.0,0.0,0.0,11.0,0.0,0.0,0.0,2.0
Tecate Original (12 oz),140.0,0.0,0.0,0.0,0.0,0.0,14.0,0.0,0.0,0.0,1.0
Budweiser (12 oz),150.0,0.0,0.0,0.0,0.0,0.0,11.0,0.0,0.0,0.0,1.0
Bud Light (16 oz),150.0,0.0,0.0,0.0,0.0,0.0,9.0,0.0,0.0,0.0,1.0
Coors (Coors Banquet) (12 oz),150.0,0.0,0.0,0.0,0.0,15.0,12.0,0.0,0.0,0.0,1.0
Firestone 805 (12 oz),150.0,0.0,0.0,0.0,0.0,5.0,14.0,0.0,7.0,0.0,2.0
Modelo Especial (12 oz),150.0,0.0,0.0,0.0,0.0,20.0,14.0,0.0,0.0,0.0,1.0
Yuengling - Black and Tan (12 oz),150.0,0.0,0.0,0.0,0.0,15.0,15.0,0.0,0.0,0.0,0.0
Barrio Blonde (12 oz),160.0,0.0,0.0,0.0,0.0,0.0,10.0,0.0,0.0,0.0,0.0
Black Abbey - The Rose (12 oz),160.0,0.0,0.0,0.0,0.0,0.0,12.0,0.0,0.0,0.0,0.0
Blue Point Big City Bells Pilsner (12 oz),160.0,0.0,0.0,0.0,0.0,0.0,10.0,0.0,0.0,0.0,2.0
Shock Top Belgian White (12 oz),170.0,0.0,0.0,0.0,0.0,0.0,15.0,0.0,0.0,0.0,2.0
Blue Moon Belgian White Bottle (12 oz),170.0,0.0,0.0,0.0,0.0,0.0,14.0,0.0,0.0,0.0,2.0
Modelo Chelada Limon y Sal (16 oz),170.0,0.0,0.0,0.0,0.0,520.0,19.0,0.0,0.0,0.0,0.0
Calicraft Coast (16 oz),170.0,0.0,0.0,0.0,0.0,0.0,15.0,0.0,0.0,0.0,0.0
Dos Equis Lager Especial (16 oz),170.0,0.0,0.0,0.0,0.0,0.0,15.0,0.0,0.0,0.0,0.0
Blue Moon Mango Wheat (12 oz),180.0,0.0,0.0,0.0,0.0,0.0,16.0,0.0,0.0,0.0,2.0
Kansas City Helles (12 oz),180.0,0.0,0.0,0.0,0.0,0.0,12.0,0.0,0.0,0.0,2.0
Kansas City Dunkel (12 oz),180.0,0.0,0.0,0.0,0.0,0.0,13.0,0.0,0.0,0.0,2.0
Old Elephant IPA (12 oz),180.0,0.0,0.0,0.0,0.0,10.0,17.0,0.0,0.0,0.0,3.0
Beach Bell Beer (12 oz),180.0,0.0,0.0,0.0,0.0,0.0,14.0,0.0,0.0,0.0,0.0
Modelo Negra (12 oz),180.0,0.0,0.0,0.0,0.0,15.0,16.0,0.0,0.0,0.0,2.0
Victoria (16 oz),180.0,0.0,0.0,0.0,0.0,0.0,18.0,0.0,0.0,0.0,0.0
Four Peaks Kilt Lifter (12 oz),180.0,0.0,0.0,0.0,0.0,10.0,14.0,0.0,0.0,0.0,2.0
Sol Cervesa (16 oz),180.0,0.0,0.0,0.0,0.0,0.0,15.0,0.0,0.0,0.0,0.0
Angel Island IPA (12 oz),190.0,0.0,0.0,0.0,0.0,0.0,14.0,0.0,0.0,0.0,1.0
Yuengling - Lager (16 oz),190.0,0.0,0.0,0.0,0.0,20.0,16.0,0.0,0.0,0.0,0.0
Miller High Life (16 oz),190.0,0.0,0.0,0.0,0.0,15.0,16.0,0.0,0.0,0.0,0.0
Heineken (16 oz),190.0,0.0,0.0,0.0,0.0,0.0,15.0,0.0,0.0,0.0,3.0
Tecate Original (16 oz),190.0,0.0,0.0,0.0,0.0,0.0,19.0,0.0,0.0,0.0,1.0
Lagunitas IPA (12 oz),190.0,0.0,0.0,0.0,0.0,15.0,14.0,0.0,2.0,0.0,3.0
Pacifico (16 oz),190.0,0.0,0.0,0.0,0.0,0.0,19.0,0.0,0.0,0.0,1.0
Budweiser (16 oz),190.0,0.0,0.0,0.0,0.0,0.0,14.0,0.0,0.0,0.0,2.0
Angry Orchard - Crisp Apple (12 oz),200.0,0.0,0.0,0.0,0.0,0.0,25.0,0.0,20.0,20.0,0.0
Blue Point Toasted Lager (16 oz),200.0,0.0,0.0,0.0,0.0,20.0,20.0,0.0,0.0,0.0,3.0
Corona Extra (16 oz),200.0,0.0,0.0,0.0,0.0,25.0,19.0,0.0,0.0,0.0,2.0
Firestone 805 (16 oz),200.0,0.0,0.0,0.0,0.0,5.0,18.0,0.0,9.0,0.0,2.0
Hard Mtn Dew - Black Cherry (24 oz),200.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,2.0,0.0,0.0
Hard Mtn Dew - Watermelon (24 oz),200.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,2.0,0.0,0.0
Modelo Especial (16 oz),200.0,0.0,0.0,0.0,0.0,25.0,19.0,0.0,0.0,0.0,1.0
Boulevard Unfiltered Wheat Beer (16 oz),200.0,0.0,0.0,0.0,0.0,0.0,20.0,0.0,0.0,0.0,0.0
Beer - General (16 oz),200.0,0.0,0.0,0.0,0.0,20.0,17.0,0.0,0.0,0.0,2.0
Hop Commander IPA (12 oz),210.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Bell's Two Hearted Ale (12 oz),210.0,0.0,0.0,0.0,0.0,0.0,17.0,0.0,0.0,0.0,0.0
Sierra Nevada Hazy Little Thing IPA (12 oz),210.0,0.0,0.0,0.0,0.0,0.0,21.0,0.0,0.0,0.0,2.0
Black Abbey - The Rose (16 oz),220.0,0.0,0.0,0.0,0.0,0.0,17.0,0.0,0.0,0.0,0.0
Blue Point Hoptical Illusion IPA (12 oz),220.0,0.0,0.0,0.0,0.0,20.0,18.0,0.0,0.0,0.0,3.0
Cool Kidz IPA (16 oz),220.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Road 2 Ruin Double IPA (12 oz),220.0,0.0,0.0,0.0,0.0,10.0,14.0,1.0,0.0,0.0,3.0
Fair Winds® Howling Gail (12 oz),220.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Blue Moon Belgian White (16 oz),220.0,0.0,0.0,0.0,0.0,20.0,19.0,0.0,0.0,0.0,3.0
Brooklyn Lager (16 oz),230.0,0.0,0.0,0.0,0.0,0.0,18.0,0.0,18.0,0.0,0.0
Patriot Ale (16 oz),230.0,0.0,0.0,0.0,0.0,0.0,19.0,0.0,0.0,0.0,0.0
Dos Equis Mexican Pale Ale (16 oz),230.0,0.0,0.0,0.0,0.0,0.0,20.0,0.0,0.0,0.0,3.0
Boulevard Space Camper Cosmic IPA (16 oz),230.0,0.0,0.0,0.0,0.0,0.0,19.0,0.0,0.0,0.0,0.0
Old Elephant IPA (16 oz),230.0,0.0,0.0,0.0,0.0,15.0,22.0,0.0,0.0,0.0,4.0
Beach Bell Beer (16 oz),240.0,0.0,0.0,0.0,0.0,0.0,19.0,0.0,0.0,0.0,0.0
Modelo Negra (16 oz),240.0,0.0,0.0,0.0,0.0,20.0,21.0,0.0,0.0,0.0,2.0
Breaking Bud (16 oz),240.0,0.0,0.0,0.0,0.0,0.0,15.0,0.0,0.0,0.0,3.0
Goose Island IPA (16 oz),250.0,0.0,0.0,0.0,0.0,0.0,20.0,0.0,0.0,0.0,3.0
Estrella Jalisco (16 oz),250.0,0.0,0.0,0.0,0.0,95.0,19.0,0.0,1.0,0.0,1.0
Sea Hag IPA (16 oz),250.0,0.0,0.0,0.0,0.0,15.0,20.0,1.0,0.0,0.0,4.0
Angry Orchard (16 oz),260.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Hop Commander IPA (16 oz),280.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Sierra Nevada Hazy Little Thing IPA (16 oz),290.0,0.0,0.0,0.0,0.0,0.0,27.0,0.0,0.0,0.0,3.0
Blue Point Hoptical Illusion IPA (16 oz),290.0,0.0,0.0,0.0,0.0,25.0,24.0,0.0,0.0,0.0,4.0
Revolution Anti Hero (16 oz),290.0,0.0,0.0,0.0,0.0,15.0,27.0,1.0,1.0,0.0,4.0
Motorworks Pulp Fiction IPA (16 oz),300.0,0.0,0.0,0.0,0.0,0.0,24.0,0.0,15.0,0.0,5.0
Voodoo Ranger Juicy Haze IPA (16 oz),310.0,0.0,0.0,0.0,0.0,0.0,21.0,0.0,0.0,0.0,0.0
Rum (80 proof) - Single - LV,120.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Vodka (80 proof) - Single - LV,120.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Mtn Dew® Baja Blast Freeze™ (16 oz),150.0,0.0,0.0,0.0,0.0,45.0,41.0,0.0,41.0,41.0,0.0
Stubborn Soda - Classic Root Beer (20 oz) - LV,200.0,0.0,0.0,0.0,0.0,90.0,52.0,0.0,52.0,52.0,0.0
Tequila (80 proof) - Double - LV,250.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Whiskey (80 proof) - Double - LV,250.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Red Sangria - LV,330.0,0.0,0.0,0.0,0.0,35.0,28.0,0.0,24.0,24.0,0.0
Diet Dr Pepper® (16 fl oz),0.0,0.0,0.0,0.0,0.0,95.0,0.0,0.0,0.0,0.0,0.0
Brisk® Unsweetened No Lemon Iced Tea (16 fl oz),0.0,0.0,0.0,0.0,0.0,70.0,0.0,0.0,0.0,0.0,0.0
Mtn Dew® Baja Blast Zero Sugar (16 fl oz),5.0,0.0,0.0,0.0,0.0,70.0,0.0,0.0,0.0,0.0,0.0
Brisk® Dragon Paradise Sparkling Iced Tea (16 fl oz),70.0,0.0,0.0,0.0,0.0,80.0,17.0,0.0,17.0,17.0,0.0
Brisk® Mango Iced Tea (16 fl oz),90.0,0.0,0.0,0.0,0.0,50.0,24.0,0.0,24.0,24.0,0.0
Dr Pepper® (16 fl oz),190.0,0.0,0.0,0.0,0.0,60.0,52.0,0.0,51.0,51.0,0.0
Pepsi® (16 fl oz),200.0,0.0,0.0,0.0,0.0,40.0,55.0,0.0,55.0,55.0,0.0
Pepsi® Wild Cherry (16 fl oz),210.0,0.0,0.0,0.0,0.0,45.0,56.0,0.0,56.0,56.0,0.0
Mtn Dew® (16 fl oz),220.0,0.0,0.0,0.0,0.0,70.0,59.0,0.0,58.0,58.0,0.0
Diet Dr Pepper® (20 fl oz),0.0,0.0,0.0,0.0,0.0,120.0,0.0,0.0,0.0,0.0,0.0
Brisk® Unsweetened No Lemon Iced Tea (20 fl oz),0.0,0.0,0.0,0.0,0.0,85.0,0.0,0.0,0.0,0.0,0.0
Diet Mtn Dew® (20 fl oz),10.0,0.0,0.0,0.0,0.0,90.0,1.0,0.0,1.0,0.0,0.0
Brisk® Dragon Paradise Sparkling Iced Tea (20 fl oz),80.0,0.0,0.0,0.0,0.0,100.0,21.0,0.0,21.0,21.0,0.0
Brisk® Mango Iced Tea (20 fl oz),110.0,0.0,0.0,0.0,0.0,65.0,30.0,0.0,30.0,30.0,0.0
Dr Pepper® (20 fl oz),240.0,0.0,0.0,0.0,0.0,75.0,65.0,0.0,64.0,64.0,0.0
Pepsi® (20 fl oz),250.0,0.0,0.0,0.0,0.0,50.0,69.0,0.0,69.0,69.0,0.0
Pepsi® Wild Cherry (20 fl oz),260.0,0.0,0.0,0.0,0.0,55.0,70.0,0.0,70.0,70.0,0.0
Mtn Dew® (20 fl oz),280.0,0.0,0.0,0.0,0.0,85.0,73.0,0.0,73.0,73.0,0.0
Diet Dr Pepper® (30 fl oz),0.0,0.0,0.0,0.0,0.0,180.0,0.0,0.0,0.0,0.0,0.0
Brisk® Unsweetened No Lemon Iced Tea (30 fl oz),0.0,0.0,0.0,0.0,0.0,125.0,0.0,0.0,0.0,0.0,0.0
Mtn Dew® Baja Blast Zero Sugar (30 fl oz),15.0,0.0,0.0,0.0,0.0,125.0,0.0,0.0,0.0,0.0,0.0
Brisk® Dragon Paradise Sparkling Iced Tea (30 fl oz),120.0,0.0,0.0,0.0,0.0,150.0,32.0,0.0,31.0,31.0,0.0
Brisk® Mango Iced Tea (30 fl oz),170.0,0.0,0.0,0.0,0.0,95.0,45.0,0.0,45.0,45.0,0.0
Dr Pepper® (30 fl oz),360.0,0.0,0.0,0.0,0.0,110.0,98.0,0.0,96.0,96.0,0.0
Pepsi® (30 fl oz),380.0,0.0,0.0,0.0,0.0,80.0,103.0,0.0,103.0,103.0,0.0
Pepsi® Wild Cherry (30 fl oz),390.0,0.0,0.0,0.0,0.0,80.0,106.0,0.0,105.0,105.0,0.0
Mtn Dew® (30 fl oz),420.0,0.0,0.0,0.0,0.0,130.0,110.0,0.0,110.0,110.0,0.0
Cherry Bliss Freeze™ (16 oz),180.0,0.0,0.0,0.0,0.0,70.0,47.0,0.0,45.0,45.0,0.0
Cherry Bliss Freeze™ (20 oz),220.0,0.0,0.0,0.0,0.0,90.0,57.0,0.0,55.0,55.0,0.0
Loaded Truff Sauce Nacho Fries,500.0,31.0,6.0,0.0,35.0,1250.0,40.0,4.0,3.0,1.0,15.0
Black Bean Quesarito - Online Exclusive,630.0,30.0,11.0,0.0,35.0,1310.0,71.0,7.0,5.0,2.0,19.0
Soft Taco - Chicken,160.0,5.0,2.5,0.0,30.0,510.0,16.0,1.0,1.0,0.0,12.0
Crunchy Taco,170.0,10.0,3.5,0.0,25.0,300.0,13.0,3.0,0.0,0.0,8.0
Soft Taco Supreme® - Chicken,190.0,7.0,3.5,0.0,35.0,520.0,18.0,2.0,2.0,0.0,13.0
Crunchy Taco Supreme®,190.0,11.0,4.5,0.0,25.0,320.0,15.0,3.0,2.0,0.0,8.0
Chalupa Supreme® - Chicken,340.0,17.0,4.0,0.0,35.0,580.0,29.0,3.0,4.0,0.0,16.0
Chalupa Supreme® - Beef,360.0,21.0,6.0,0.0,25.0,570.0,31.0,4.0,4.0,0.0,12.0
Bean Burrito (V),350.0,9.0,4.0,0.0,5.0,1040.0,55.0,10.0,3.0,2.0,13.0
Chili Cheese Burrito (regional),380.0,17.0,9.0,0.0,35.0,980.0,41.0,4.0,2.0,1.0,16.0
Burrito Supreme® - Beef,400.0,14.0,6.0,0.0,25.0,1130.0,51.0,8.0,4.0,2.0,16.0
Quesarito - Chicken,630.0,30.0,11.0,0.0,60.0,1430.0,65.0,4.0,4.0,2.0,25.0
Quesarito - Beef,650.0,33.0,13.0,0.5,50.0,1420.0,67.0,5.0,4.0,2.0,21.0
Nachos BellGrande® - Chicken,710.0,35.0,5.0,0.0,30.0,1140.0,79.0,14.0,4.0,0.0,20.0
Nachos BellGrande® - Beef,730.0,38.0,6.0,0.0,25.0,1130.0,81.0,15.0,4.0,0.0,17.0
Quesadilla - Chicken,520.0,26.0,13.0,0.0,75.0,1260.0,41.0,3.0,3.0,2.0,26.0
Black Bean Quesarito (V),630.0,30.0,11.0,0.0,35.0,1310.0,71.0,7.0,5.0,2.0,19.0
Nacho Cheese Doritos® Locos Taco - Specialties,170.0,9.0,3.5,0.0,25.0,350.0,13.0,3.0,0.0,0.0,8.0
